channel_id	electrode_id	type	unit	sampling_frequency	gain
AP255	s1e111	EXT	V	30000.0	3.02734375e-06
AP256	s1e112	EXT	V	30000.0	3.02734375e-06
AP257	s1e113	EXT	V	30000.0	3.02734375e-06
AP258	s3e18	EXT	V	30000.0	3.02734375e-06
AP259	s3e19	EXT	V	30000.0	3.02734375e-06
AP260	s3e20	EXT	V	30000.0	3.02734375e-06
AP261	s3e21	EXT	V	30000.0	3.02734375e-06
AP262	s3e22	EXT	V	30000.0	3.02734375e-06
AP263	s3e23	EXT	V	30000.0	3.02734375e-06
AP264	s3e24	EXT	V	30000.0	3.02734375e-06
AP265	s3e25	EXT	V	30000.0	3.02734375e-06
AP266	s3e26	EXT	V	30000.0	3.02734375e-06
AP267	s3e27	EXT	V	30000.0	3.02734375e-06
AP268	s3e28	EXT	V	30000.0	3.02734375e-06
AP269	s3e29	EXT	V	30000.0	3.02734375e-06
AP270	s3e30	EXT	V	30000.0	3.02734375e-06
AP271	s3e31	EXT	V	30000.0	3.02734375e-06
AP272	s3e32	EXT	V	30000.0	3.02734375e-06
AP273	s3e33	EXT	V	30000.0	3.02734375e-06
AP274	s3e34	EXT	V	30000.0	3.02734375e-06
AP275	s3e35	EXT	V	30000.0	3.02734375e-06
AP276	s3e36	EXT	V	30000.0	3.02734375e-06
AP277	s3e37	EXT	V	30000.0	3.02734375e-06
AP278	s3e38	EXT	V	30000.0	3.02734375e-06
AP279	s3e39	EXT	V	30000.0	3.02734375e-06
AP280	s3e40	EXT	V	30000.0	3.02734375e-06
AP281	s3e41	EXT	V	30000.0	3.02734375e-06
AP282	s3e42	EXT	V	30000.0	3.02734375e-06
AP283	s3e43	EXT	V	30000.0	3.02734375e-06
AP284	s3e44	EXT	V	30000.0	3.02734375e-06
AP285	s3e45	EXT	V	30000.0	3.02734375e-06
AP286	s3e46	EXT	V	30000.0	3.02734375e-06
AP287	s3e47	EXT	V	30000.0	3.02734375e-06
AP288	s2e48	EXT	V	30000.0	3.02734375e-06
AP289	s2e49	EXT	V	30000.0	3.02734375e-06
AP290	s2e50	EXT	V	30000.0	3.02734375e-06
AP291	s2e51	EXT	V	30000.0	3.02734375e-06
AP292	s2e52	EXT	V	30000.0	3.02734375e-06
AP293	s2e53	EXT	V	30000.0	3.02734375e-06
AP294	s2e54	EXT	V	30000.0	3.02734375e-06
AP295	s2e55	EXT	V	30000.0	3.02734375e-06
AP296	s2e56	EXT	V	30000.0	3.02734375e-06
AP297	s2e57	EXT	V	30000.0	3.02734375e-06
AP298	s2e58	EXT	V	30000.0	3.02734375e-06
AP299	s2e59	EXT	V	30000.0	3.02734375e-06
AP300	s2e60	EXT	V	30000.0	3.02734375e-06
AP301	s2e61	EXT	V	30000.0	3.02734375e-06
AP302	s2e62	EXT	V	30000.0	3.02734375e-06
AP303	s2e63	EXT	V	30000.0	3.02734375e-06
AP304	s2e64	EXT	V	30000.0	3.02734375e-06
AP305	s2e65	EXT	V	30000.0	3.02734375e-06
AP306	s2e66	EXT	V	30000.0	3.02734375e-06
AP307	s2e67	EXT	V	30000.0	3.02734375e-06
AP308	s2e68	EXT	V	30000.0	3.02734375e-06
AP309	s2e69	EXT	V	30000.0	3.02734375e-06
AP310	s2e70	EXT	V	30000.0	3.02734375e-06
AP311	s2e71	EXT	V	30000.0	3.02734375e-06
AP312	s2e72	EXT	V	30000.0	3.02734375e-06
AP313	s2e73	EXT	V	30000.0	3.02734375e-06
AP314	s2e74	EXT	V	30000.0	3.02734375e-06
AP315	s2e75	EXT	V	30000.0	3.02734375e-06
AP316	s2e76	EXT	V	30000.0	3.02734375e-06
AP317	s2e77	EXT	V	30000.0	3.02734375e-06
AP318	s2e78	EXT	V	30000.0	3.02734375e-06
AP319	s2e79	EXT	V	30000.0	3.02734375e-06
AP320	s2e80	EXT	V	30000.0	3.02734375e-06
AP321	s2e81	EXT	V	30000.0	3.02734375e-06
AP322	s2e82	EXT	V	30000.0	3.02734375e-06
AP323	s2e83	EXT	V	30000.0	3.02734375e-06
AP324	s2e84	EXT	V	30000.0	3.02734375e-06
AP325	s2e85	EXT	V	30000.0	3.02734375e-06
AP326	s2e86	EXT	V	30000.0	3.02734375e-06
AP327	s2e87	EXT	V	30000.0	3.02734375e-06
AP328	s2e88	EXT	V	30000.0	3.02734375e-06
AP329	s2e89	EXT	V	30000.0	3.02734375e-06
AP330	s2e90	EXT	V	30000.0	3.02734375e-06
AP331	s2e91	EXT	V	30000.0	3.02734375e-06
AP332	s2e92	EXT	V	30000.0	3.02734375e-06
AP333	s2e93	EXT	V	30000.0	3.02734375e-06
AP334	s2e94	EXT	V	30000.0	3.02734375e-06
AP335	s2e95	EXT	V	30000.0	3.02734375e-06
AP336	s3e48	EXT	V	30000.0	3.02734375e-06
AP337	s3e49	EXT	V	30000.0	3.02734375e-06
AP338	s3e50	EXT	V	30000.0	3.02734375e-06
AP339	s3e51	EXT	V	30000.0	3.02734375e-06
AP340	s3e52	EXT	V	30000.0	3.02734375e-06
AP341	s3e53	EXT	V	30000.0	3.02734375e-06
AP342	s3e54	EXT	V	30000.0	3.02734375e-06
AP343	s3e55	EXT	V	30000.0	3.02734375e-06
AP344	s3e56	EXT	V	30000.0	3.02734375e-06
AP345	s3e57	EXT	V	30000.0	3.02734375e-06
AP346	s3e58	EXT	V	30000.0	3.02734375e-06
AP347	s3e59	EXT	V	30000.0	3.02734375e-06
AP348	s3e60	EXT	V	30000.0	3.02734375e-06
AP349	s3e61	EXT	V	30000.0	3.02734375e-06
AP350	s3e62	EXT	V	30000.0	3.02734375e-06
AP351	s3e63	EXT	V	30000.0	3.02734375e-06
AP352	s3e64	EXT	V	30000.0	3.02734375e-06
AP353	s3e65	EXT	V	30000.0	3.02734375e-06
AP354	s3e66	EXT	V	30000.0	3.02734375e-06
AP355	s3e67	EXT	V	30000.0	3.02734375e-06
AP356	s3e68	EXT	V	30000.0	3.02734375e-06
AP357	s3e69	EXT	V	30000.0	3.02734375e-06
AP358	s3e70	EXT	V	30000.0	3.02734375e-06
AP359	s3e71	EXT	V	30000.0	3.02734375e-06
AP360	s3e72	EXT	V	30000.0	3.02734375e-06
AP361	s3e73	EXT	V	30000.0	3.02734375e-06
AP362	s3e74	EXT	V	30000.0	3.02734375e-06
AP363	s3e75	EXT	V	30000.0	3.02734375e-06
AP364	s3e76	EXT	V	30000.0	3.02734375e-06
AP365	s3e77	EXT	V	30000.0	3.02734375e-06
AP366	s3e78	EXT	V	30000.0	3.02734375e-06
AP367	s3e79	EXT	V	30000.0	3.02734375e-06
AP368	s3e80	EXT	V	30000.0	3.02734375e-06
AP369	s3e81	EXT	V	30000.0	3.02734375e-06
AP370	s3e82	EXT	V	30000.0	3.02734375e-06
AP371	s3e83	EXT	V	30000.0	3.02734375e-06
AP372	s3e84	EXT	V	30000.0	3.02734375e-06
AP373	s3e85	EXT	V	30000.0	3.02734375e-06
AP374	s3e86	EXT	V	30000.0	3.02734375e-06
AP375	s3e87	EXT	V	30000.0	3.02734375e-06
AP376	s3e88	EXT	V	30000.0	3.02734375e-06
AP377	s3e89	EXT	V	30000.0	3.02734375e-06
AP378	s3e90	EXT	V	30000.0	3.02734375e-06
AP379	s3e91	EXT	V	30000.0	3.02734375e-06
AP380	s3e92	EXT	V	30000.0	3.02734375e-06
AP381	s3e93	EXT	V	30000.0	3.02734375e-06
AP382	s3e94	EXT	V	30000.0	3.02734375e-06
AP383	s3e95	EXT	V	30000.0	3.02734375e-06
AP0	s2e96	EXT	V	30000.0	3.02734375e-06
AP1	s2e97	EXT	V	30000.0	3.02734375e-06
AP2	s2e98	EXT	V	30000.0	3.02734375e-06
AP3	s2e99	EXT	V	30000.0	3.02734375e-06
AP4	s2e100	EXT	V	30000.0	3.02734375e-06
AP5	s2e101	EXT	V	30000.0	3.02734375e-06
AP6	s2e102	EXT	V	30000.0	3.02734375e-06
AP7	s2e103	EXT	V	30000.0	3.02734375e-06
AP8	s2e104	EXT	V	30000.0	3.02734375e-06
AP9	s2e105	EXT	V	30000.0	3.02734375e-06
AP10	s2e106	EXT	V	30000.0	3.02734375e-06
AP11	s2e107	EXT	V	30000.0	3.02734375e-06
AP12	s2e108	EXT	V	30000.0	3.02734375e-06
AP13	s2e109	EXT	V	30000.0	3.02734375e-06
AP14	s2e110	EXT	V	30000.0	3.02734375e-06
AP15	s2e111	EXT	V	30000.0	3.02734375e-06
AP16	s2e112	EXT	V	30000.0	3.02734375e-06
AP17	s2e113	EXT	V	30000.0	3.02734375e-06
AP18	s2e114	EXT	V	30000.0	3.02734375e-06
AP19	s2e115	EXT	V	30000.0	3.02734375e-06
AP20	s2e116	EXT	V	30000.0	3.02734375e-06
AP21	s2e117	EXT	V	30000.0	3.02734375e-06
AP22	s2e118	EXT	V	30000.0	3.02734375e-06
AP23	s2e119	EXT	V	30000.0	3.02734375e-06
AP24	s2e120	EXT	V	30000.0	3.02734375e-06
AP25	s2e121	EXT	V	30000.0	3.02734375e-06
AP26	s2e122	EXT	V	30000.0	3.02734375e-06
AP27	s2e123	EXT	V	30000.0	3.02734375e-06
AP28	s2e124	EXT	V	30000.0	3.02734375e-06
AP29	s2e125	EXT	V	30000.0	3.02734375e-06
AP30	s2e126	EXT	V	30000.0	3.02734375e-06
AP31	s2e127	EXT	V	30000.0	3.02734375e-06
AP32	s2e128	EXT	V	30000.0	3.02734375e-06
AP33	s2e129	EXT	V	30000.0	3.02734375e-06
AP34	s2e130	EXT	V	30000.0	3.02734375e-06
AP35	s2e131	EXT	V	30000.0	3.02734375e-06
AP36	s2e132	EXT	V	30000.0	3.02734375e-06
AP37	s2e133	EXT	V	30000.0	3.02734375e-06
AP38	s2e134	EXT	V	30000.0	3.02734375e-06
AP39	s2e135	EXT	V	30000.0	3.02734375e-06
AP40	s2e136	EXT	V	30000.0	3.02734375e-06
AP41	s2e137	EXT	V	30000.0	3.02734375e-06
AP42	s2e138	EXT	V	30000.0	3.02734375e-06
AP43	s2e139	EXT	V	30000.0	3.02734375e-06
AP44	s2e140	EXT	V	30000.0	3.02734375e-06
AP45	s2e141	EXT	V	30000.0	3.02734375e-06
AP46	s2e142	EXT	V	30000.0	3.02734375e-06
AP47	s2e143	EXT	V	30000.0	3.02734375e-06
AP48	s3e96	EXT	V	30000.0	3.02734375e-06
AP49	s3e97	EXT	V	30000.0	3.02734375e-06
AP50	s3e98	EXT	V	30000.0	3.02734375e-06
AP51	s3e99	EXT	V	30000.0	3.02734375e-06
AP52	s3e100	EXT	V	30000.0	3.02734375e-06
AP53	s3e101	EXT	V	30000.0	3.02734375e-06
AP54	s3e102	EXT	V	30000.0	3.02734375e-06
AP55	s3e103	EXT	V	30000.0	3.02734375e-06
AP56	s3e104	EXT	V	30000.0	3.02734375e-06
AP57	s3e105	EXT	V	30000.0	3.02734375e-06
AP58	s3e106	EXT	V	30000.0	3.02734375e-06
AP59	s3e107	EXT	V	30000.0	3.02734375e-06
AP60	s3e108	EXT	V	30000.0	3.02734375e-06
AP61	s3e109	EXT	V	30000.0	3.02734375e-06
AP62	s3e110	EXT	V	30000.0	3.02734375e-06
AP63	s3e111	EXT	V	30000.0	3.02734375e-06
AP64	s3e112	EXT	V	30000.0	3.02734375e-06
AP65	s3e113	EXT	V	30000.0	3.02734375e-06
AP66	s3e114	EXT	V	30000.0	3.02734375e-06
AP67	s3e115	EXT	V	30000.0	3.02734375e-06
AP68	s3e116	EXT	V	30000.0	3.02734375e-06
AP69	s3e117	EXT	V	30000.0	3.02734375e-06
AP70	s3e118	EXT	V	30000.0	3.02734375e-06
AP71	s3e119	EXT	V	30000.0	3.02734375e-06
AP72	s3e120	EXT	V	30000.0	3.02734375e-06
AP73	s3e121	EXT	V	30000.0	3.02734375e-06
AP74	s3e122	EXT	V	30000.0	3.02734375e-06
AP75	s3e123	EXT	V	30000.0	3.02734375e-06
AP76	s3e124	EXT	V	30000.0	3.02734375e-06
AP77	s3e125	EXT	V	30000.0	3.02734375e-06
AP78	s3e126	EXT	V	30000.0	3.02734375e-06
AP79	s3e127	EXT	V	30000.0	3.02734375e-06
AP80	s3e128	EXT	V	30000.0	3.02734375e-06
AP81	s3e129	EXT	V	30000.0	3.02734375e-06
AP82	s3e130	EXT	V	30000.0	3.02734375e-06
AP83	s3e131	EXT	V	30000.0	3.02734375e-06
AP84	s3e132	EXT	V	30000.0	3.02734375e-06
AP85	s3e133	EXT	V	30000.0	3.02734375e-06
AP86	s3e134	EXT	V	30000.0	3.02734375e-06
AP87	s3e135	EXT	V	30000.0	3.02734375e-06
AP88	s3e136	EXT	V	30000.0	3.02734375e-06
AP89	s3e137	EXT	V	30000.0	3.02734375e-06
AP90	s3e138	EXT	V	30000.0	3.02734375e-06
AP91	s3e139	EXT	V	30000.0	3.02734375e-06
AP92	s3e140	EXT	V	30000.0	3.02734375e-06
AP93	s3e141	EXT	V	30000.0	3.02734375e-06
AP94	s3e142	EXT	V	30000.0	3.02734375e-06
