electrode_id	probe_id	location
324	NeuropixelsImec1	left dCA1
325	NeuropixelsImec1	left dCA1
326	NeuropixelsImec1	left dCA1
327	NeuropixelsImec1	left dCA1
328	NeuropixelsImec1	left dCA1
329	NeuropixelsImec1	left dCA1
330	NeuropixelsImec1	left dCA1
331	NeuropixelsImec1	left dCA1
332	NeuropixelsImec1	left dCA1
333	NeuropixelsImec1	left dCA1
334	NeuropixelsImec1	left dCA1
335	NeuropixelsImec1	left dCA1
336	NeuropixelsImec1	left dCA1
337	NeuropixelsImec1	left dCA1
338	NeuropixelsImec1	left dCA1
339	NeuropixelsImec1	left dCA1
340	NeuropixelsImec1	left dCA1
341	NeuropixelsImec1	left dCA1
342	NeuropixelsImec1	left dCA1
343	NeuropixelsImec1	left dCA1
344	NeuropixelsImec1	left dCA1
345	NeuropixelsImec1	left dCA1
346	NeuropixelsImec1	left dCA1
347	NeuropixelsImec1	left dCA1
348	NeuropixelsImec1	left dCA1
349	NeuropixelsImec1	left dCA1
350	NeuropixelsImec1	left dCA1
351	NeuropixelsImec1	left dCA1
352	NeuropixelsImec1	left dCA1
353	NeuropixelsImec1	left dCA1
354	NeuropixelsImec1	left dCA1
355	NeuropixelsImec1	left dCA1
356	NeuropixelsImec1	left dCA1
357	NeuropixelsImec1	left dCA1
358	NeuropixelsImec1	left dCA1
359	NeuropixelsImec1	left dCA1
360	NeuropixelsImec1	left dCA1
361	NeuropixelsImec1	left dCA1
362	NeuropixelsImec1	left dCA1
363	NeuropixelsImec1	left dCA1
364	NeuropixelsImec1	left dCA1
365	NeuropixelsImec1	left dCA1
366	NeuropixelsImec1	left dCA1
367	NeuropixelsImec1	left dCA1
368	NeuropixelsImec1	left dCA1
369	NeuropixelsImec1	left dCA1
370	NeuropixelsImec1	left dCA1
371	NeuropixelsImec1	left dCA1
372	NeuropixelsImec1	left dCA1
373	NeuropixelsImec1	left dCA1
374	NeuropixelsImec1	left dCA1
375	NeuropixelsImec1	left dCA1
376	NeuropixelsImec1	left dCA1
377	NeuropixelsImec1	left dCA1
378	NeuropixelsImec1	left dCA1
379	NeuropixelsImec1	left dCA1
380	NeuropixelsImec1	left dCA1
381	NeuropixelsImec1	left dCA1
382	NeuropixelsImec1	left dCA1
383	NeuropixelsImec1	left dCA1
384	NeuropixelsImec0	right dCA1
385	NeuropixelsImec0	right dCA1
386	NeuropixelsImec0	right dCA1
387	NeuropixelsImec0	right dCA1
388	NeuropixelsImec0	right dCA1
389	NeuropixelsImec0	right dCA1
390	NeuropixelsImec0	right dCA1
391	NeuropixelsImec0	right dCA1
392	NeuropixelsImec0	right dCA1
393	NeuropixelsImec0	right dCA1
394	NeuropixelsImec0	right dCA1
395	NeuropixelsImec0	right dCA1
396	NeuropixelsImec0	right dCA1
397	NeuropixelsImec0	right dCA1
398	NeuropixelsImec0	right dCA1
399	NeuropixelsImec0	right dCA1
400	NeuropixelsImec0	right dCA1
401	NeuropixelsImec0	right dCA1
402	NeuropixelsImec0	right dCA1
403	NeuropixelsImec0	right dCA1
404	NeuropixelsImec0	right dCA1
405	NeuropixelsImec0	right dCA1
406	NeuropixelsImec0	right dCA1
407	NeuropixelsImec0	right dCA1
408	NeuropixelsImec0	right dCA1
409	NeuropixelsImec0	right dCA1
410	NeuropixelsImec0	right dCA1
411	NeuropixelsImec0	right dCA1
412	NeuropixelsImec0	right dCA1
413	NeuropixelsImec0	right dCA1
414	NeuropixelsImec0	right dCA1
415	NeuropixelsImec0	right dCA1
416	NeuropixelsImec0	right dCA1
417	NeuropixelsImec0	right dCA1
418	NeuropixelsImec0	right dCA1
419	NeuropixelsImec0	right dCA1
420	NeuropixelsImec0	right dCA1
421	NeuropixelsImec0	right dCA1
422	NeuropixelsImec0	right dCA1
423	NeuropixelsImec0	right dCA1
424	NeuropixelsImec0	right dCA1
425	NeuropixelsImec0	right dCA1
426	NeuropixelsImec0	right dCA1
427	NeuropixelsImec0	right dCA1
428	NeuropixelsImec0	right dCA1
429	NeuropixelsImec0	right dCA1
430	NeuropixelsImec0	right dCA1
431	NeuropixelsImec0	right dCA1
432	NeuropixelsImec0	right dCA1
433	NeuropixelsImec0	right dCA1
434	NeuropixelsImec0	right dCA1
435	NeuropixelsImec0	right dCA1
436	NeuropixelsImec0	right dCA1
437	NeuropixelsImec0	right dCA1
438	NeuropixelsImec0	right dCA1
439	NeuropixelsImec0	right dCA1
440	NeuropixelsImec0	right dCA1
441	NeuropixelsImec0	right dCA1
442	NeuropixelsImec0	right dCA1
443	NeuropixelsImec0	right dCA1
444	NeuropixelsImec0	right dCA1
445	NeuropixelsImec0	right dCA1
446	NeuropixelsImec0	right dCA1
447	NeuropixelsImec0	right dCA1
448	NeuropixelsImec0	right dCA1
449	NeuropixelsImec0	right dCA1
450	NeuropixelsImec0	right dCA1
451	NeuropixelsImec0	right dCA1
452	NeuropixelsImec0	right dCA1
453	NeuropixelsImec0	right dCA1
454	NeuropixelsImec0	right dCA1
455	NeuropixelsImec0	right dCA1
456	NeuropixelsImec0	right dCA1
457	NeuropixelsImec0	right dCA1
458	NeuropixelsImec0	right dCA1
459	NeuropixelsImec0	right dCA1
460	NeuropixelsImec0	right dCA1
461	NeuropixelsImec0	right dCA1
462	NeuropixelsImec0	right dCA1
